county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Hawaii,multifamily,1250000,0,1,0,6,8122800
Hawaii,multifamily,1250000,1,1,0,1,1317000
Hawaii,multifamily,1500000,0,1,0,2,3215700
Hawaii,multifamily,1750000,0,1,0,2,3520400
Hawaii,multifamily,2000000,0,1,0,1,2142800
Hawaii,multifamily,2000000,1,1,0,2,4211700
Hawaii,multifamily,2250000,1,1,0,2,4664800
Hawaii,multifamily,2500000,1,1,0,1,2646100
Hawaii,multifamily,2750000,1,1,0,1,2905500
Hawaii,multifamily,3000000,1,1,0,2,6254200
Hawaii,multifamily,3250000,0,1,0,1,3318000
Hawaii,multifamily,4500000,1,1,0,1,4728100
Hawaii,multifamily,4750000,1,1,0,1,4829100
Hawaii,multifamily,6000000,0,1,0,1,6421400
Hawaii,multifamily,6500000,1,1,0,1,6539300
Hawaii,multifamily,8000000,1,1,0,2,16257600
Hawaii,multifamily,15000000,0,1,0,2,33100900
Hawaii,multifamily,20000000,0,1,0,1,28901200
Hawaii,multifamily,30000000,0,1,0,2,112650800
Hawaii,multifamily,30000000,1,1,0,1,157710300
Hawaii,residential,0,0,0,0,20721,889055300
Hawaii,residential,0,0,1,0,4091,747147000
Hawaii,residential,0,1,1,0,3708,845488485
Hawaii,residential,300000,0,0,0,730,292738700
Hawaii,residential,300000,0,1,0,5240,2259269000
Hawaii,residential,300000,1,1,0,8958,3924660372
Hawaii,residential,600000,0,0,0,90,60879500
Hawaii,residential,600000,0,1,0,1559,1081247800
Hawaii,residential,600000,1,1,0,3433,2372478409
Hawaii,residential,800000,0,0,0,37,33856100
Hawaii,residential,800000,0,1,0,1052,938271900
Hawaii,residential,800000,1,1,0,2196,1957845374
Hawaii,residential,1000000,0,0,0,56,64691700
Hawaii,residential,1000000,0,1,0,642,711132800
Hawaii,residential,1000000,1,1,0,1620,1804552448
Hawaii,residential,1250000,0,0,0,54,73451800
Hawaii,residential,1250000,0,1,0,282,386185800
Hawaii,residential,1250000,1,1,0,776,1053273905
Hawaii,residential,1500000,0,0,0,26,41971600
Hawaii,residential,1500000,0,1,0,161,259370500
Hawaii,residential,1500000,1,1,0,445,715835755
Hawaii,residential,1750000,0,0,0,22,41569100
Hawaii,residential,1750000,0,1,0,110,205183200
Hawaii,residential,1750000,1,1,0,211,392965034
Hawaii,residential,2000000,0,0,0,22,47567300
Hawaii,residential,2000000,0,1,0,103,217521700
Hawaii,residential,2000000,1,1,0,131,277266462
Hawaii,residential,2250000,0,0,0,17,39909800
Hawaii,residential,2250000,0,1,0,72,170865500
Hawaii,residential,2250000,1,1,0,76,180569954
Hawaii,residential,2500000,0,0,0,22,58087600
Hawaii,residential,2500000,0,1,0,51,133308600
Hawaii,residential,2500000,1,1,0,49,128406316
Hawaii,residential,2750000,0,0,0,24,67651500
Hawaii,residential,2750000,0,1,0,38,109680200
Hawaii,residential,2750000,1,1,0,30,85659410
Hawaii,residential,3000000,0,0,0,15,47109000
Hawaii,residential,3000000,0,1,0,31,96298800
Hawaii,residential,3000000,1,1,0,17,53416227
Hawaii,residential,3250000,0,0,0,17,57847200
Hawaii,residential,3250000,0,1,0,37,124405700
Hawaii,residential,3250000,1,1,0,14,46894772
Hawaii,residential,3500000,0,0,0,17,60863500
Hawaii,residential,3500000,0,1,0,39,140874600
Hawaii,residential,3500000,1,1,0,18,65054518
Hawaii,residential,3750000,0,0,0,6,23535500
Hawaii,residential,3750000,0,1,0,41,158913800
Hawaii,residential,3750000,1,1,0,19,73635412
Hawaii,residential,4000000,0,0,0,9,37241600
Hawaii,residential,4000000,0,1,0,24,98386500
Hawaii,residential,4000000,1,1,0,10,41291837
Hawaii,residential,4250000,0,0,0,12,51994500
Hawaii,residential,4250000,0,1,0,23,100235100
Hawaii,residential,4250000,1,1,0,12,52435452
Hawaii,residential,4500000,0,0,0,6,27518400
Hawaii,residential,4500000,0,1,0,21,97764700
Hawaii,residential,4500000,1,1,0,8,36940805
Hawaii,residential,4750000,0,0,0,10,48643900
Hawaii,residential,4750000,0,1,0,11,54031900
Hawaii,residential,4750000,1,1,0,4,19521463
Hawaii,residential,5000000,0,0,0,4,20378400
Hawaii,residential,5000000,0,1,0,17,86975500
Hawaii,residential,5000000,1,1,0,2,10282243
